timestamp,arp_total,arp_request_count,arp_reply_count,req_reply_ratio,gratuitous_arp_count,broadcast_count,packet_rate,request_rate,reply_rate,src_ip_entropy,src_mac_entropy,target_ip_entropy,unique_src_ip_count,unique_src_mac_count,top1_ip_share,digest_sample_count,ip_mac_consistency_score,new_ip_ratio,digests_processed,packets_dropped,cpu_load,ctx_voluntary,ctx_involuntary,mem_rss_bytes,digest_latency_mean_us,digest_latency_max_us,iat_mean_ms,iat_min_ms,iat_std_ms,window_buf_depth,flush_duration_ms,label
2026-05-01T22:58:11,54680,48551,6129,7.9202,0,48551,18206.3145,16165.5957,2040.7188,11.2349,11.272,1.4889,4378,4474,0.1081,5468,0.1763,0.9623,5468,0,1.38,3,0,73768960,25.83,1312.61,0.5542,-16.6792,0.7498,5468,26.07,1
2026-05-01T22:58:14,61800,51128,10662,4.7949,10,184600503,20591.7767,17035.8634,3552.5813,10.6328,10.6598,2.4797,4598,4677,0.1783,6180,0.1799,0.9669,6180,0,1.48,3,0,74489856,25.13,738.91,0.4903,-30.6295,0.9543,6180,28.55,1
2026-05-01T22:58:17,59790,50281,9509,5.2872,0,50281,19918.1991,16750.4092,3167.7898,10.8018,10.8307,2.2158,4554,4635,0.1599,5979,0.1579,0.9629,5979,0,1.48,3,0,75149312,24.79,570.95,0.505,0.007,0.4984,5979,27.31,1
2026-05-01T22:58:20,56320,49740,6580,7.5581,0,49740,18766.4996,16573.9647,2192.5349,11.2051,11.2328,1.5993,4504,4578,0.1158,5632,0.1614,0.9636,5632,0,1.4,3,0,75776000,26.16,2481.12,0.5381,-0.2567,0.598,5632,24.82,1
2026-05-01T22:58:23,64220,51988,12232,4.2498,0,51988,21398.1502,17322.439,4075.7112,10.4722,10.496,2.7061,4610,4681,0.1942,6422,0.1566,0.9668,6422,0,1.52,4,0,76664832,26.34,3099.34,0.4706,-21.2096,0.7054,6422,28.64,1
2026-05-01T22:58:26,54750,48153,6587,7.3092,10,184597528,18241.8134,16043.7998,2194.6817,11.0639,11.096,1.7192,4311,4392,0.1247,5475,0.1457,0.9636,5475,0,1.35,5,0,77238272,25.64,748.8,0.5525,0.0067,0.5728,5475,28.75,1
2026-05-01T22:58:29,61290,50594,10696,4.7297,0,50594,20412.9094,16850.5586,3562.3508,10.6315,10.6554,2.4422,4516,4586,0.1759,6129,0.1543,0.9674,6129,0,1.46,4,0,77987840,24.86,1160.42,0.4949,-33.5993,1.0487,6129,28.87,1
2026-05-01T22:58:32,59060,50536,8524,5.928,0,50536,19676.6211,16836.7376,2839.8835,10.9416,10.9743,1.9856,4506,4597,0.1434,5906,0.1336,0.9589,5906,0,1.46,5,0,78630912,25.54,1511.84,0.5134,0.0099,0.6104,5906,29.82,1
2026-05-01T22:58:35,56100,48949,7151,6.8441,0,48949,18690.2307,16307.8094,2382.4214,11.0546,11.0823,1.7829,4418,4489,0.1292,5610,0.129,0.9622,5610,0,1.38,3,0,79265792,25.37,724.06,0.5406,-26.459,0.9805,5610,27.39,1
2026-05-01T22:58:38,63970,51714,12256,4.2191,0,51714,21314.3505,17230.7382,4083.6123,10.5022,10.5352,2.6943,4678,4775,0.1934,6397,0.1278,0.9664,6397,0,1.51,4,0,80146432,23.9,805.77,0.4727,-11.7819,0.5442,6397,29.54,1
